"PROVIDER_NPI","GROUP_NPI","TIN","PROVIDER_LAST_NAME","PROVIDER_FIRST_NAME","PROVIDER_CREDENTIAL","SPECIALTY_CODE","SPECIALTY_DESC","TAXONOMY_CODE","PRIMARY_CARE_FLAG","NETWORK_STATUS","NETWORK_EFFECTIVE_DATE","NETWORK_TERM_DATE","ACCEPTING_NEW_PATIENTS","TELEHEALTH_ENABLED","QUALITY_TIER","PRACTICE_ADDRESS_LINE1","PRACTICE_CITY","PRACTICE_STATE","PRACTICE_ZIP","PRACTICE_COUNTY_CODE","PRACTICE_LATITUDE","PRACTICE_LONGITUDE","PRACTICE_PHONE","CREDENTIAL_STATUS","CREDENTIAL_EXPIRY_DATE","BOARD_CERTIFIED","MALPRACTICE_FLAG","CLAIM_VOLUME_30D","RISK_FLAG_VOLUME_30D","AVG_RISK_SCORE_PANEL","_SOURCE_SYSTEM","_LOADED_AT","_RECORD_HASH"
"1183708400","2850490102","436416716","Fowler","Angel","MD","01","Internal Medicine / General Practice","731771542X","FALSE","IN_NETWORK","2023-03-01","","TRUE","FALSE","TIER_2","32181 Johnson Course Apt. 389","San Jose","CA","94121","06085","37.5934338","-121.6617131","083-863-7940","ACTIVE","2026-11-16","TRUE","FALSE","190","28","2.7355","CAQH_PROVIEW","2026-09-15 10:31:41","c37f9a6181ddb9efa4db0477edf9f00e8c4ce07ddc26f0cea34cc50ade263fc1"
"1694559557","2974296933","633367998","Blake","Erik","MD","24","Family Practice","415428507X","TRUE","PREFERRED","2026-01-23","","TRUE","TRUE","TIER_2","4235 Christopher Court Suite 594","Oakland","CA","94609","06085","36.8721668","-122.3502801","078-161-8495","ACTIVE","2028-01-21","FALSE","TRUE","21","29","1.1993","CAQH_PROVIEW","2026-09-15 10:31:41","be046f6c3b01c0317490fd59b2d9224061f4dfe4c58712ac4e2ba4b89091c8b1"
"1524614310","2171387054","809468370","Ray","Janet","DO","66","Rheumatology","905776749X","FALSE","IN_NETWORK","2024-03-19","","TRUE","FALSE","TIER_2","341 Michelle Light","Sacramento","CA","95128","06085","37.0463329","-121.7483921","475-255-3419","ACTIVE","2028-04-29","FALSE","FALSE","167","21","1.3188","CAQH_PROVIEW","2026-09-15 10:31:41","5f3d8a1ad9dee9b6d53ee52293013137664355c6089f561a2ad05357071389c4"
"1913825022","","787952129","Reid","Amanda","MD","11","Medical Oncology","292093081X","FALSE","IN_NETWORK","2022-01-18","","FALSE","TRUE","TIER_2","76483 Cameron Trail","San Jose","CA","95014","06085","37.407856","-122.4736742","030-564-1395","ACTIVE","2027-01-17","TRUE","FALSE","217","17","2.2928","CAQH_PROVIEW","2026-09-15 10:31:41","917d52562b450cd655638a5038ff44d78652b5e101d21a29d378f0e2755bcb7b"
"1833737187","","270979361","Lewis","Victor","MD","38","Psychiatry","487832545X","FALSE","PREFERRED","2024-08-31","","TRUE","FALSE","TIER_2","42388 Burgess Meadow Suite 532","San Francisco","CA","94102","06085","37.1006901","-121.7449717","871-012-2691","ACTIVE","2028-05-23","TRUE","FALSE","100","30","1.1725","CAQH_PROVIEW","2026-09-15 10:31:41","724b78a7c13498657fc3ba25cbbdadc5276ccf3a1b2aff9e7a2c02f02757b907"
"1990624412","2838953065","208672862","Cruz","Caitlin","MD","24","Family Practice","726166382X","TRUE","IN_NETWORK","2024-05-29","","TRUE","TRUE","TIER_1","480 Erin Plain Suite 514","Fresno","CA","95148","06085","37.3896454","-122.1831848","627-048-2814","ACTIVE","2028-03-27","TRUE","FALSE","113","6","1.6818","CAQH_PROVIEW","2026-09-15 10:31:41","a7112be76dd4479c789013f4f29de569ea61ea70e933f86d5d2e69fdb670eada"
"1155584954","2169710448","468618676","Skinner","William","MD","90","Nephrology","616879006X","FALSE","PREFERRED","2023-03-20","","TRUE","FALSE","TIER_2","52880 Burns Creek","San Francisco","CA","94115","06085","37.1120198","-121.9177029","543-039-1171","ACTIVE","2027-06-21","TRUE","FALSE","129","35","0.6785","CAQH_PROVIEW","2026-09-15 10:31:41","eb6a1682a1f6069f076408cf568380a0820ca1f2333eb9da9f76a4b407992ca3"
"1589741809","2799755207","202469173","Spence","Amanda","MD","08","Geriatrics","559361512X","FALSE","IN_NETWORK","2022-12-21","","TRUE","TRUE","TIER_2","78248 Brandt Plains","San Francisco","CA","93727","06085","37.2541415","-122.447121","346-578-7133","ACTIVE","2027-09-18","FALSE","FALSE","100","16","0.9122","CAQH_PROVIEW","2026-09-15 10:31:41","7bc63fb8d590c44dfce45637ba432fe6661b421879e6bc9cacace6a05e6f2861"
"1897839544","2825076507","550513277","Brown","Andrew","PA","24","Family Practice","248289550X","TRUE","IN_NETWORK","2025-04-09","","TRUE","TRUE","TIER_1","301 Jeremy Bypass","Oakland","CA","93701","06085","37.4913825","-122.1648628","518-347-3829","SUSPENDED","2027-09-23","TRUE","FALSE","206","9","0.5628","CAQH_PROVIEW","2026-09-15 10:31:41","2bd4f860062365c81a4ca58ff02ab2ab04f920b4d3a734fc1de671753feb8b10"
"1539007575","","420983217","Johnston","John","NP","86","Pulmonary Disease","657601416X","FALSE","IN_NETWORK","2025-06-04","","TRUE","FALSE","TIER_2","3116 Henderson Mountain Apt. 106","Oakland","CA","94118","06085","37.7831039","-122.0982047","513-338-7262","ACTIVE","2026-11-03","TRUE","FALSE","14","2","2.7798","CAQH_PROVIEW","2026-09-15 10:31:41","e1427157a857f48855a6adadbb3309fc66b6036c7399b79b70dabe2b9b2cd7ce"
