CUSTOMER_ID,COMPANY_NAME,CONTACT_FIRST_NAME,CONTACT_LAST_NAME,EMAIL,PHONE,ADDRESS,CITY,STATE,ZIP_CODE,LATITUDE,LONGITUDE,CUSTOMER_TYPE,CREDIT_RATING,ACCOUNT_STATUS,CREDIT_LIMIT,YTD_REVENUE,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
CU-020000,"Pacheco, Chavez and Gutierrez",Diane,Ellis,woodwarderin@johnson.com,785.422.1158x7184,4268 Green Vista,Jacksonville,FL,89666,30.350876,-81.658794,INDUSTRIAL,C,ACTIVE,51598.51,241481.58,UR_CUSTOMERS,76d7a37e664f10a40f0afde7a2ae50686fa2dd0fe9d918010621aaa4413c3290,2026-03-20T07:54:07.138220,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.138221,9999-12-31T00:00:00
CU-020001,"Zamora, Jimenez and Rodriguez",James,Hanna,holtrobert@hutchinson-hoover.com,277.329.6656x337,05278 Angel Land Suite 800,Houston,TX,03819,29.796855,-95.304041,RESIDENTIAL,B,ACTIVE,165777.59,92240.01,UR_CUSTOMERS,a9b8ba96d29604c37f2b6b29ad5001e8395457c023e2d797a4e4b00c8cb0d502,2026-03-20T07:54:07.138531,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.138532,9999-12-31T00:00:00
CU-020002,Mccall Development,Timothy,Fleming,cameronlopez@bates-dougherty.com,(509)343-9136x81720,9552 Thompson Stravenue,Detroit,MI,04012,42.376615,-83.11426,INFRASTRUCTURE,B,ACTIVE,150066.66,322014.47,UR_CUSTOMERS,873541425d54dbaec99104b084c0babaa57f8867072af4d31f7bca6afc60a0d8,2026-03-20T07:54:07.138823,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.138824,9999-12-31T00:00:00
CU-020003,Burke Engineering,Jacob,Barber,wbowers@ball.com,+1-233-622-2739x38992,3532 Rodney Corners Suite 076,Newark,NJ,12512,40.811731,-74.226886,INFRASTRUCTURE,A,ACTIVE,333288.7,433983.46,UR_CUSTOMERS,d201a67d5efd47ca6c189048c70239cf80e2eab931b23fd9c2bf2207cfc7be34,2026-03-20T07:54:07.139016,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.139016,9999-12-31T00:00:00
CU-020004,Arnold Group,Brandon,Lopez,hfrench@roman.com,507-412-6158,6484 Mendoza Islands,Las Vegas,NV,58515,36.180658,-115.084783,MINING,B,ACTIVE,174668.83,254980.26,UR_CUSTOMERS,a42c9d1b3ee86a7d4d10fe22889a72024fc20aa7afc28af7f34a9d6570b165e5,2026-03-20T07:54:07.139255,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.139256,9999-12-31T00:00:00
CU-020005,Sacramento County,Karen,Anderson,tinabrandt@haas.net,4194442589,560 White River,Sacramento,CA,44742,38.589828,-121.545999,GOVERNMENT,B,ACTIVE,110253.49,49678.44,UR_CUSTOMERS,273528af43b0c4a495b83f220f77b447fc8cdf1245c69f23c973e649126c7f20,2026-03-20T07:54:07.139476,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.139477,9999-12-31T00:00:00
CU-020006,New York County,Jason,Douglas,oallen@mendoza.com,+1-904-767-4130,418 Hernandez Shoals,New York,NY,09903,40.708352,-73.92848,GOVERNMENT,B,ACTIVE,168676.76,468704.32,UR_CUSTOMERS,b9eb71cda4748bc7902e3583a23432bd0a369b81d5779ad0c0780452973dcb0b,2026-03-20T07:54:07.139684,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.139684,9999-12-31T00:00:00
CU-020007,Denver Parks Dept,Jeffrey,Cruz,gguerrero@beck-perez.info,+1-356-715-4705x54912,4119 Rivera Groves,Denver,CO,02717,39.719748,-105.044745,GOVERNMENT,A,ACTIVE,476878.85,196653.74,UR_CUSTOMERS,d73e3492cffdcee76122479c7cdbbdcefc6770f0e8796a16c18831b3417a5c85,2026-03-20T07:54:07.139865,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.139865,9999-12-31T00:00:00
CU-020008,"Mahoney, Davis and Le",Brittany,Lewis,shannon75@brown.com,3424620197,41393 Bullock River,San Antonio,TX,53392,29.46516,-98.44804,RESIDENTIAL,B,ACTIVE,112903.9,161881.5,UR_CUSTOMERS,9879498393af38333167ece76704b93afa8d51b46337e5565fac6c16559d5e4a,2026-03-20T07:54:07.140093,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.140094,9999-12-31T00:00:00
CU-020009,Ford Contracting,Ashley,Gibson,knightalexandra@jones.info,931.892.2760x7598,39431 Crystal Light Suite 430,Nashville,TN,67674,36.139473,-86.840995,CONSTRUCTION,A,ACTIVE,293400.18,213436.89,UR_CUSTOMERS,ded61d294654d507939fd2db67ca72e9f5cfdd1ece9ac8c5168c777ea7fb0e86,2026-03-20T07:54:07.140292,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.140293,9999-12-31T00:00:00
