CONTRACT_ID,CUSTOMER_ID,EQUIPMENT_ID,BRANCH_ID,RENTAL_START_DATE,RENTAL_END_DATE,DURATION_DAYS,DAILY_RATE,WEEKLY_RATE,MONTHLY_RATE,TOTAL_AMOUNT,STATUS,DELIVERY_ADDRESS,DELIVERY_CITY,DELIVERY_STATE,DELIVERY_LATITUDE,DELIVERY_LONGITUDE,PO_NUMBER,SALES_REP,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
RC-030000,CU-020128,EQ-013496,BR-01001,2024-11-21,2024-12-18,27,168.9,506.7,1520.1,1520.1,COMPLETED,21698 Derek Drives Suite 414,Charlotte,NC,35.234849,-80.799159,PO-577720,Taylor Ortiz,UR_RENTAL_CONTRACTS,142d76dd1c97ce938cc4892ccc3909d7f662f1c4cddefb69d4dddc3db49ba246,2026-03-20T07:54:07.418986,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.418987,9999-12-31T00:00:00
RC-030001,CU-020825,EQ-011695,BR-01007,2024-09-03,2024-09-04,1,173.37,520.11,1560.33,173.37,COMPLETED,2144 Harris Mountains,Newark,NJ,40.770061,-74.235887,PO-360583,Matthew Adams,UR_RENTAL_CONTRACTS,62f2136173e7961d194a5e1dc7680245aa43c2a7d6e451842ad591218a477916,2026-03-20T07:54:07.419113,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419114,9999-12-31T00:00:00
RC-030002,CU-020120,EQ-011789,BR-01016,2024-06-18,2024-10-09,113,329.94,989.82,2969.46,8908.38,COMPLETED,8778 Katie Common Apt. 591,New York,NY,40.772294,-74.019412,PO-157921,Jay Evans,UR_RENTAL_CONTRACTS,931d9a9159f5807434398633c08bc8a34d8c133376c54cde2e0a4033a0b15a5d,2026-03-20T07:54:07.419226,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419227,9999-12-31T00:00:00
RC-030003,CU-020349,EQ-013641,BR-01016,2024-08-09,2024-09-04,26,198.39,595.17,1785.51,1785.51,COMPLETED,635 Mcguire Mall,Baltimore,MD,39.324548,-76.543562,PO-473564,Amanda Lee,UR_RENTAL_CONTRACTS,2bc84ec58e707a5c0eae84aab610e401368c4eaad2989189a85da412117ddb11,2026-03-20T07:54:07.419328,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419328,9999-12-31T00:00:00
RC-030004,CU-020641,EQ-012095,BR-01032,2024-12-26,2025-01-03,8,149.02,447.06,1341.18,447.06,COMPLETED,05719 Wright Flats,Newark,NJ,40.805951,-74.213511,PO-160041,Ariel Carter,UR_RENTAL_CONTRACTS,d9fb670427c3d5f4c82ec1980be16f100129ca4eab44b546f8478e4c90a97491,2026-03-20T07:54:07.419428,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419429,9999-12-31T00:00:00
RC-030005,CU-020461,EQ-014438,BR-01001,2024-11-21,2024-12-11,20,114.33,342.99,1028.97,685.98,COMPLETED,762 Smith Falls Apt. 564,Austin,TX,30.278593,-97.798355,PO-360181,Michael Hall,UR_RENTAL_CONTRACTS,e458e4ef999979e66100d1de0b8a4c3143ef3950195db364d81388f5069a9780,2026-03-20T07:54:07.419527,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419528,9999-12-31T00:00:00
RC-030006,CU-020195,EQ-013096,BR-01099,2025-06-17,2025-09-16,91,1578.86,4736.58,14209.74,42629.22,CANCELLED,919 Smith Square Suite 796,Dallas,TX,32.755852,-96.698081,PO-700844,Lisa Robinson,UR_RENTAL_CONTRACTS,416256062b7e67233c35c10ebee46ba45d387637d2caab953a8bd4ef5442a78e,2026-03-20T07:54:07.419628,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419629,9999-12-31T00:00:00
RC-030007,CU-020328,EQ-012863,BR-01044,2025-04-06,2025-05-04,28,339.7,1019.1,3057.3,4076.4,COMPLETED,194 Nelson Crest,Cincinnati,OH,39.189237,-84.48367,PO-999354,Victor Miller,UR_RENTAL_CONTRACTS,8ec55c34287ecec3e5f447f13f199b1953cf5f72552b68b5bea5717fbb895f27,2026-03-20T07:54:07.419724,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419724,9999-12-31T00:00:00
RC-030008,CU-020016,EQ-011175,BR-01042,2025-08-09,2025-08-25,16,172.37,517.11,1551.33,1034.22,COMPLETED,24155 Troy Islands,Houston,TX,29.759314,-95.385977,PO-486102,Jennifer Robinson,UR_RENTAL_CONTRACTS,30ad5a2cb279267381d643505334fe94386957a27f74dbe8cc88ba810f997df5,2026-03-20T07:54:07.419811,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419812,9999-12-31T00:00:00
RC-030009,CU-020731,EQ-013795,BR-01022,2026-01-21,2026-02-10,20,302.09,906.27,2718.81,1812.54,COMPLETED,53327 David Trail Suite 668,Seattle,WA,47.519066,-122.370873,PO-599790,Stephen Patel,UR_RENTAL_CONTRACTS,50eb541556fe5e9b17376fbeba0a54df012a831e3dabf8ef8f10c9dce8ce0e98,2026-03-20T07:54:07.419901,UNITED_RENTALS,TRUE,2026-03-20T07:54:07.419901,9999-12-31T00:00:00
